DAY,Division,Batch,10:30 TO 11:30,11:30 TO 12:30,12:30 TO 12:50,12:50 TO 1:50,1:50 TO 2:50,2:50 TO 3:50,3:50 TO 4:00,4:00 TO 5:00,5:00 TO 6:00
MON,A,1,JPR - PR,JPR - PR,RECESS,MIC,JPR,DCC,RECESS,GAD - PR,GAD - PR
MON,A,2,-,-,RECESS,MIC,JPR,DCC,RECESS,GAD - PR,GAD - PR
MON,A,3,DCC - PR,DCC - PR,RECESS,MIC,JPR,DCC,RECESS,GAD - PR,GAD - PR
MON,B,1,MIC - PR,MIC - PR,RECESS,DCC,SEN,MIC,RECESS,DCC - PR,DCC - PR
MON,B,2,SEN - PR,SEN - PR,RECESS,DCC,SEN,MIC,RECESS,MIC - PR,MIC - PR
TUE,A,1,JPR,SEN,RECESS,DCC,SEN - PR,SEN - PR,RECESS,-,-
TUE,A,2,JPR,SEN,RECESS,DCC,JPR - PR,JPR - PR,RECESS,DCC - PR,DCC - PR
TUE,A,3,JPR,SEN,RECESS,DCC,MIC - PR,MIC - PR,RECESS,JPR - PR,JPR - PR
TUE,B,1,DCC,GAD,RECESS,JPR,-,-,RECESS,GAD - PR,GAD - PR
TUE,B,2,DCC,GAD,RECESS,JPR,-,-,RECESS,GAD - PR,GAD - PR
WED,A,1,JPR,SEN,RECESS,MIC,GAD,DCC,RECESS,DCC - PR,DCC - PR
WED,A,2,JPR,SEN,RECESS,MIC,GAD,DCC,RECESS,MIC - PR,MIC - PR
WED,A,3,JPR,SEN,RECESS,MIC,GAD,DCC,RECESS,SEN - PR,SEN - PR
WED,B,1,DCC,DCC,RECESS,JPR,MIC,SEN,RECESS,-,-
WED,B,2,DCC,DCC,RECESS,JPR,MIC,SEN,RECESS,-,-
THU,A,1,SEN,DCC,RECESS,MIC - PR,MIC - PR,MIC,RECESS,JPR - PR,JPR - PR
THU,A,2,SEN,DCC,RECESS,SEN - PR,SEN - PR,MIC,RECESS,-,-
THU,A,3,SEN,DCC,RECESS,JPR - PR,JPR - PR,MIC,RECESS,-,-
THU,B,1,MIC,JPR,RECESS,-,-,SEN,RECESS,SEN - PR,SEN - PR
THU,B,2,MIC,JPR,RECESS,JPR - PR,JPR - PR,SEN,RECESS,DCC - PR,DCC - PR
FRI,A,1,-,-,RECESS,MIC,GAD,-,RECESS,GAD,-
FRI,A,2,JPR - PR,JPR - PR,RECESS,MIC,GAD,-,RECESS,GAD,-
FRI,A,3,-,-,RECESS,MIC,GAD,-,RECESS,GAD,-
FRI,B,1,GAD - PR,GAD - PR,RECESS,GAD,-,MIC,RECESS,-,-
FRI,B,2,GAD - PR,GAD - PR,RECESS,GAD,-,MIC,RECESS,-,-
SAT,A,1,-,-,RECESS,-,-,-,RECESS,-,-
SAT,A,2,-,-,RECESS,-,-,-,RECESS,-,-
SAT,A,3,-,-,RECESS,-,-,-,RECESS,-,-
SAT,B,1,JPR - PR,JPR - PR,RECESS,JPR - PR,JPR - PR,-,RECESS,-,-
SAT,B,2,JPR - PR,JPR - PR,RECESS,JPR - PR,JPR - PR,-,RECESS,-,-
